formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
"Velyka Vasylkivska St, 120, Kyiv, Ukraine, 03150","{'location': {'lat': 50.41954759999999, 'lng': 30.5210646}, 'viewport': {'northeast': {'lat': 50.42093542989272, 'lng': 30.52257067989272}, 'southwest': {'lat': 50.41823577010727, 'lng': 30.51987102010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,71ac4e939822af073fcdb767c368c3a4c4d9759e,Nova Poshta №75,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117617683836969567736/photos"">Микола Українець</a>'], 'photo_reference': 'CmRaAAAAHQpFyX8WyQLYRugzETaVNwN-I9syNEE-KikZRKCSsAWafoGImYd66J5IOSARLDcha-ccH0EduICz-YBXITgP4BzxAe-mQljxo3HKKnb_BJLS_iqUXCWmnAEPdb8UWpZjEhCEvxJ1BBFY2MwZLCNmrixCGhQTzMf8f4a3JzJY7XBEsNuyZijpWA', 'width': 4032}]",ChIJo0GlrCLP1EARx2iuZs6Tddo,"{'compound_code': 'CG9C+RC Kyiv, Kyiv city', 'global_code': '9G2GCG9C+RC'}",4.4,ChIJo0GlrCLP1EARx2iuZs6Tddo,"['point_of_interest', 'establishment']",167
"Novopechers'kyi Ln, 5, Kyiv, Ukraine, 01042","{'location': {'lat': 50.4221093, 'lng': 30.5284771}, 'viewport': {'northeast': {'lat': 50.42338117989271, 'lng': 30.52984322989272}, 'southwest': {'lat': 50.42068152010727, 'lng': 30.52714357010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,b663ad63f1437ef0a30cdc740cadc9d1f7127c63,Nova Poshta. Cargo Branch #20,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101375460939872625642/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAA5TkUkUwz_YPlMB59HdHa6nimYbjOzPpHIrj3zaJX4Pj1EQ9ZQLduGORRUPcuawpQFPVU87VdiMbveGYK5P8-CZqA8I0GDTPfnnTo5PTZ9hlUZszlw7z852YzCbFv8M4REhAR-sBuMZjI_MMDI6qyP0MOGhRoKFBeRhv_zuJ7mbmjjXZIddDHzQ', 'width': 4160}]",ChIJN1iWmjbQ1EARY0uflE91630,"{'compound_code': 'CGCH+R9 Kyiv, Kyiv city', 'global_code': '9G2GCGCH+R9'}",3.9,ChIJN1iWmjbQ1EARY0uflE91630,"['point_of_interest', 'establishment']",384
"Povitroflots'kyi Ave, 34, Kyiv, Ukraine, 03146","{'location': {'lat': 50.4285977, 'lng': 30.4657501}, 'viewport': {'northeast': {'lat': 50.42988647989272, 'lng': 30.46720812989273}, 'southwest': {'lat': 50.42718682010727, 'lng': 30.46450847010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,a8fe78eb3f08d54c02d8932c034eaf4229c45ccd,Nova Poshta,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100145049629650613061/photos"">Дмитрий Я</a>'], 'photo_reference': 'CmRaAAAA0Y6ZjdpywEUR5gY0ywLdt4Um1IKc4WpFdNPBySuX01sZHx12JbRE4gGvkVoxko0Un5kvjHGt-r0Nd3NbwgIU1A7n6UWWD4jwRQHk32Uzd3Vl49aDuYjFGMk7T3lWcUCwEhAkxrNrH-aaGxX1zdYE7ffwGhRYsxwYEPbAfAZ9e04Btfq6HZwMEA', 'width': 4096}]",ChIJLXSgbbnO1EARDmb9R3vshd0,"{'compound_code': 'CFH8+C8 Kyiv, Kyiv city', 'global_code': '9G2GCFH8+C8'}",4.5,ChIJLXSgbbnO1EARDmb9R3vshd0,"['point_of_interest', 'establishment']",316
"Klinichna St, 21/19, Kyiv, Ukraine, 01001","{'location': {'lat': 50.4183215, 'lng': 30.4896847}, 'viewport': {'northeast': {'lat': 50.41960967989272, 'lng': 30.49107317989272}, 'southwest': {'lat': 50.41691002010728, 'lng': 30.48837352010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,fa1d0bc8f66b4d4911ab11398b93ec0cf7e84b02,Nova Poshta №191,{'open_now': True},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106779417655755479222/photos"">Василий В</a>'], 'photo_reference': 'CmRaAAAA976Ir-3G5itQom65pwT39760UZGHL_TPQaqsR3Ng7Hcu7OYtycgIQrg7bhvxFtH6zGWEUW8HlWUY_Vsm3pUAWaW6PhWhO8ATMGfHBM8MdaN8CQWCNrVKSByS2IsCRd37EhAQwEZPWh8HaVBYj8caaWqLGhQOlFqUxsFbFZC_aQN097wv2Ig7Jw', 'width': 4096}]",ChIJ7RxQA9rO1EARnOkVSQEHFi4,"{'compound_code': 'CF9Q+8V Kyiv, Kyiv city', 'global_code': '9G2GCF9Q+8V'}",4.5,ChIJ7RxQA9rO1EARnOkVSQEHFi4,"['point_of_interest', 'establishment']",175
"Київ, Антоновича, Lybidska Square, 157 (м, Kyiv, Ukraine, 03150","{'location': {'lat': 50.4157794, 'lng': 30.5216399}, 'viewport': {'northeast': {'lat': 50.41718312989272, 'lng': 30.52313782989272}, 'southwest': {'lat': 50.41448347010728, 'lng': 30.52043817010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e008912e39e4acf3373a4fa49336d71527d495d9,Nova Poshta,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111908864083105389383/photos"">Serhii Rafalskyi</a>'], 'photo_reference': 'CmRaAAAAMZvsv74feX8lhQurU0ij5A-XiFFgE8hf_uEFBp_1ZJYUsiSUeV9D9RTxKOiDv7SseTG8q67C1FWMsd1XeJ0crvbZRpeM5v0H9YXn4V-s_2ZHkiQdH6-iHH2D2YmFQARGEhCDbNULF41SMZmc9H_2DbZxGhTs2-oAm49hhEGW8umof0KOj37iTw', 'width': 4496}]",ChIJx81TXzzP1EARno-swYCH0-E,"{'compound_code': 'CG8C+8M Kyiv, Kyiv city', 'global_code': '9G2GCG8C+8M'}",3.8,ChIJx81TXzzP1EARno-swYCH0-E,"['point_of_interest', 'establishment']",256
"Sofiivs'ka St, 17/15, Kyiv, Ukraine, 01001","{'location': {'lat': 50.451944, 'lng': 30.51848609999999}, 'viewport': {'northeast': {'lat': 50.45335522989273, 'lng': 30.51987427989272}, 'southwest': {'lat': 50.45065557010728, 'lng': 30.51717462010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,40c577cbf744730f8870dab6d0394a07875b43fe,Nova Poshta №140,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117844547400998627426/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAACgrnbxwIi22upl2exyXcjFgwK6HGvQDm9Z6ArIe4krLsT3MBW0LRV7K50mC9UuakrA0wOH6Rvo4dLQFaMtdhzsOTaDF5TGyY7HAN_uBCYjTy4Vay2ZSh3ivpLAZB_w0CEhAV4JVFFH75W5ItQdi3s8CGGhQSj3xOSmywz6efo2K-ELGJJ5jt5A', 'width': 2322}]",ChIJAbA2YFrO1EARM0aWoAsoS_8,"{'compound_code': 'FG29+Q9 Kyiv, Kyiv city', 'global_code': '9G2GFG29+Q9'}",3.9,ChIJAbA2YFrO1EARM0aWoAsoS_8,"['point_of_interest', 'establishment']",116
"маг.""Brain, Dmytrivska St, 56, Kyiv, Ukraine, 01054","{'location': {'lat': 50.4517465, 'lng': 30.4894825}, 'viewport': {'northeast': {'lat': 50.45307157989272, 'lng': 30.49070837989272}, 'southwest': {'lat': 50.45037192010728, 'lng': 30.48800872010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,33b53893af8213674f40d6febb559e34128d72dd,Nova Poshta #222,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112374614298546970742/photos"">Андрей Валентинович</a>'], 'photo_reference': 'CmRaAAAAxYjg1CgzzJGOpIg3i-c3MC7z6_dKqdboCkQgg1mqUu31s-xuxxPmp7jfW8G9BIfXYTaTXpQgaaGQMiUVxsPDrUUx-DMgPtZ_G7JqQkFAz6h8THzX7UzBCLBZRd0xz8jkEhDUFKIGphFpemOFOxHORxb_GhTsGv-GBITasp1VEI_xDyNfy2ZOVw', 'width': 768}]",ChIJdQ_t4onO1EARlnjViLGVsmU,"{'compound_code': 'FF2Q+MQ Kyiv, Kyiv city', 'global_code': '9G2GFF2Q+MQ'}",3.4,ChIJdQ_t4onO1EARlnjViLGVsmU,"['point_of_interest', 'establishment']",42
"Moskovska St, 46/2, Kyiv, Ukraine, 01001","{'location': {'lat': 50.432467, 'lng': 30.544527}, 'viewport': {'northeast': {'lat': 50.43361097989271, 'lng': 30.54555292989273}, 'southwest': {'lat': 50.43091132010727, 'lng': 30.54285327010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3252d9571cf0e44eada7f7fbe59441ddc56791eb,Nova Poshta #235,{'open_now': True},"[{'height': 1728, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100679913763590448090/photos"">Влад Романенко</a>'], 'photo_reference': 'CmRaAAAAeWxiHAv1LvKRkX-uoYJKfT2E6FcDZTcdqly8qmFAfzmLaOELSZfMDGjlffvorzm830SLifE5Jz3WpeR-f8W89cvv2dyFF5k3IldZfZK3u0lfM8Voz96vOeXO-rK9qG5GEhCJWnsQ2-QkS378N_BweBvcGhQy69n1h7Klyh-YylCnjSbF42HLOg', 'width': 3072}]",ChIJ3ZrnbQnP1EARRKKOSpsqimE,"{'compound_code': 'CGJV+XR Kyiv, Kyiv city', 'global_code': '9G2GCGJV+XR'}",4.0,ChIJ3ZrnbQnP1EARRKKOSpsqimE,"['point_of_interest', 'establishment']",428
"Tatarska St, 27/4, Kyiv, Ukraine, 04107","{'location': {'lat': 50.4677265, 'lng': 30.4857971}, 'viewport': {'northeast': {'lat': 50.46915702989272, 'lng': 30.48715467989272}, 'southwest': {'lat': 50.46645737010728, 'lng': 30.48445502010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,81dd2e6fca32725d4258d0987416f8f17a97a3e4,Nova Poshta Office #337,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110072411156276899492/photos"">Компания ТРИО - Trio Co.- New Generation of Heating</a>'], 'photo_reference': 'CmRaAAAAHpYLfpzaketF6Uydwrz-IX69VZ9-HrH_Um0rS3-WhvGyXdY2jHl9TY0CijgdaXKZjO_ngIHWV_266w-ZyJb4BR7gZYWRODvqzaGKEwMbrNtqhKZG078FiTNvABAxwqdoEhBBDqgIwWXBueqnMtA59HsRGhR5VQXJav8dbyLRSiVenFNhyenBvA', 'width': 4128}]",ChIJ8Ris-XbO1EARCGv0jNK9dO8,"{'compound_code': 'FF9P+38 Kyiv, Kyiv city', 'global_code': '9G2GFF9P+38'}",4.5,ChIJ8Ris-XbO1EARCGv0jNK9dO8,"['point_of_interest', 'establishment']",242
"Генерала Алмазова, 11 «ГОТОВО», Kyiv, Ukraine, 01001","{'location': {'lat': 50.4286767, 'lng': 30.541135}, 'viewport': {'northeast': {'lat': 50.43005762989272, 'lng': 30.54256787989272}, 'southwest': {'lat': 50.42735797010727, 'lng': 30.53986822010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1770ac662e724437ecf3a5f68a2ea60c7c4a23a2,Novaya Pochta. Parcel Shop №400. Kiyev,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102169564307631692954/photos"">Олена Микуленко</a>'], 'photo_reference': 'CmRaAAAAxMWQCmqZX51kZnnMmJe2DLb6Hqnv2LPKZ4RZ58ZmLsIzd5TAmxfKibWrQY7f8UWIwnglk-Z32yYF3hnfF9YBD6QhGY2jMm3ihd62eKx4Uib_EW-uAJPkEz5ke2vrMhTVEhDzdye2N9y0chDAKJ0wZ5RyGhQ9NdPLPTkVbr5PSX4H_9qJpXaSQw', 'width': 3456}]",ChIJV0-5hw7P1EARvPHFjVgIdZ8,"{'compound_code': 'CGHR+FF Kyiv, Kyiv city', 'global_code': '9G2GCGHR+FF'}",4.3,ChIJV0-5hw7P1EARvPHFjVgIdZ8,"['point_of_interest', 'establishment']",87
"Velyka Vasylkivska St, буд. 143, 2, Б, Kyiv, Ukraine, 03150","{'location': {'lat': 50.41327709999999, 'lng': 30.5274833}, 'viewport': {'northeast': {'lat': 50.41437932989272, 'lng': 30.52893587989272}, 'southwest': {'lat': 50.41167967010728, 'lng': 30.52623622010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,782871263c71b9dad9c1ac99981e530d0ce16fcb,Nova Poshta,{'open_now': True},"[{'height': 1456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114226413765720198490/photos"">Алексей Пузырь</a>'], 'photo_reference': 'CmRaAAAAbWI_dToCE8GjqitPKEMPKfgKda6rVDZBv4d2Pw2xW6ipp1YQnbUyoF-J8cjF80sShy-OxqBkXNoNwtxH4qfvbpVWA0EM-lH6toFrcgG9K-K_8LiSGjMHqFNtxk0LZOuNEhAjVehn4pgu5N2Ct0vzngDHGhTPlvrohSNRNZuINf8DrTeU1Ed2yA', 'width': 2592}]",ChIJH_FrzD7P1EARUWXZ1Ch7XmU,"{'compound_code': 'CG7G+8X Kyiv, Kyiv city', 'global_code': '9G2GCG7G+8X'}",3.9,ChIJH_FrzD7P1EARUWXZ1Ch7XmU,"['point_of_interest', 'establishment']",40
"Vyborzka St, 49, Kyiv, Ukraine, 03067","{'location': {'lat': 50.4480418, 'lng': 30.442807}, 'viewport': {'northeast': {'lat': 50.44944122989272, 'lng': 30.44417457989272}, 'southwest': {'lat': 50.44674157010728, 'lng': 30.44147492010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,0e19e90d20b53a1b853e91e55d19e33d94cef237,Nova Poshta,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114982707450931742771/photos"">Діма Корженко</a>'], 'photo_reference': 'CmRaAAAApzAQjyi1W-acDePETTwFI4c5bzCcxqAtn3F7CGP5oJP0gIkiQWTBxnG9TCrh2eqyTdjandmt4Oasjyrh8Cpe4hh5vJxjzqzlVpzAkQfsVBpKHSJOiyASjkIpEYEeBG7OEhBpD9A2MVlfH2h_c0fV_PT9GhQb7MrYV1UhcOSHGvxHSkUtO9Hd7Q', 'width': 3024}]",ChIJP5XtfyPM1EARnllfRX22NHc,"{'compound_code': 'CCXV+64 Kyiv, Kyiv city', 'global_code': '9G2GCCXV+64'}",3.9,ChIJP5XtfyPM1EARnllfRX22NHc,"['point_of_interest', 'establishment']",495
